timestamp,thp_temp,humidity,pressure
2025-05-14T10:48:05.362260,24.8,55.22,1004.13
2025-05-14T10:48:06.775435,24.8,55.28,1004.13
2025-05-14T10:48:07.396767,24.8,55.28,1004.13
2025-05-14T10:48:08.403405,24.8,55.28,1004.13
2025-05-14T10:48:09.860469,24.81,55.7,1004.13
2025-05-14T10:48:10.417224,24.81,55.7,1004.13
2025-05-14T10:48:11.425417,24.81,55.7,1004.13
2025-05-14T10:48:12.797830,24.81,55.43,1004.12
2025-05-14T10:48:13.446194,24.81,55.43,1004.12
2025-05-14T10:48:14.457464,24.81,55.43,1004.12
2025-05-14T10:48:15.789891,24.81,55.43,1004.11
2025-05-14T10:48:16.474361,24.81,55.43,1004.11
2025-05-14T10:48:17.484674,24.81,55.43,1004.11
2025-05-14T10:48:18.803533,24.81,55.43,1004.11
2025-05-14T10:48:19.505703,24.81,55.43,1004.11
2025-05-14T10:48:20.519531,24.81,55.43,1004.11
2025-05-14T10:48:21.807369,24.84,62.59,1004.13
2025-05-14T10:48:22.557787,24.84,62.59,1004.13
2025-05-14T10:48:23.571276,24.84,62.59,1004.13
2025-05-14T10:48:24.809603,24.93,65.48,1004.11
2025-05-14T10:48:25.595109,24.93,65.48,1004.11
2025-05-14T10:48:26.606956,24.93,65.48,1004.11
2025-05-14T10:48:27.816323,25.24,75.24,1005.26
2025-05-14T10:48:28.618825,25.24,75.24,1005.26
2025-05-14T10:48:29.634538,25.24,75.24,1005.26
2025-05-14T10:48:30.812189,25.32,83.37,1005.95
2025-05-14T10:48:31.659039,25.32,83.37,1005.95
2025-05-14T10:48:32.689097,25.32,83.37,1005.95
2025-05-14T10:48:33.815277,25.47,85.73,1004.15
2025-05-14T10:48:34.716808,25.47,85.73,1004.15
2025-05-14T10:48:35.733539,25.47,85.73,1004.15
2025-05-14T10:48:36.829553,25.62,86.26,1003.53
2025-05-14T10:48:37.763686,25.62,86.26,1003.53
2025-05-14T10:48:38.779812,25.62,86.26,1003.53
2025-05-14T10:48:39.844260,26.1,88.98,1008.69
2025-05-14T10:48:40.789959,26.1,88.98,1008.69
2025-05-14T10:48:42.821746,26.38,89.61,991.83
2025-05-14T10:48:43.803088,26.38,89.61,991.83
2025-05-14T10:48:45.804856,26.25,87.74,977.36
2025-05-14T10:48:46.812510,26.25,87.74,977.36
2025-05-14T10:48:48.839261,26.48,78.55,977.39
2025-05-14T10:48:49.836456,26.48,78.55,977.39
2025-05-14T10:48:51.842868,26.67,69.85,1004.19
2025-05-14T10:48:51.858628,26.67,69.85,1004.19
2025-05-14T10:48:52.858430,26.67,69.85,1004.19
2025-05-14T10:48:54.858247,26.87,64.45,1004.2
2025-05-14T10:48:55.872511,26.87,64.45,1004.2
2025-05-14T10:48:57.871998,27.07,59.31,1004.22
2025-05-14T10:48:57.903810,27.07,59.31,1004.22
2025-05-14T10:48:58.901447,27.07,59.31,1004.22
2025-05-14T10:49:00.880609,27.22,57.35,1004.15
2025-05-14T10:49:00.896571,27.22,57.35,1004.15
2025-05-14T10:49:01.907960,27.22,57.35,1004.15
2025-05-14T10:49:03.897582,27.37,55.07,1004.18
2025-05-14T10:49:04.913127,27.37,55.07,1004.18
2025-05-14T10:49:06.908158,27.48,53.79,1004.17
2025-05-14T10:49:06.936149,27.48,53.79,1004.17
2025-05-14T10:49:07.938894,27.48,53.79,1004.17
2025-05-14T10:49:09.936943,27.58,53.17,1004.14
2025-05-14T10:49:09.951368,27.58,53.17,1004.14
